kepid,kepoi_name,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_model_snr,koi_steff,koi_srad,ra,dec,koi_kepmag
10797460,K00752.01,CONFIRMED,0,0,0,0,9.488035570,170.5387500,0.1460,2.95750,6.1580e+02,2.26,793.0,35.80,5455.00,0.9270,291.934230,48.141651,15.347
10797460,K00752.02,CONFIRMED,0,0,0,0,54.418382700,162.5138400,0.5860,4.50700,8.7480e+02,2.83,443.0,25.80,5455.00,0.9270,291.934230,48.141651,15.347
10811496,K00753.01,CANDIDATE,0,0,0,0,19.899139950,175.8502520,0.9690,1.78220,1.0829e+04,14.60,638.0,76.30,5853.00,0.8680,297.004820,48.134129,15.436
10848459,K00754.01,FALSE POSITIVE,0,1,0,0,1.736952453,170.3075650,1.2760,2.40641,8.0792e+03,33.46,1395.0,505.60,5805.00,0.7910,285.534610,48.285210,15.597
10854555,K00755.01,CONFIRMED,0,0,0,0,2.525591777,171.5955500,0.7010,1.65450,6.0330e+02,2.75,1406.0,40.90,6031.00,1.0460,288.754880,48.226200,15.509
10872983,K00756.01,CONFIRMED,0,0,0,0,11.094320540,171.2011600,0.5380,4.59450,1.5175e+03,3.90,835.0,66.50,6046.00,0.9720,296.286130,48.224670,15.714
10872983,K00756.02,CONFIRMED,0,0,0,0,4.134435120,172.9793700,0.7620,3.14020,6.8600e+02,2.77,1160.0,40.20,6046.00,0.9720,296.286130,48.224670,15.714
10872983,K00756.03,CONFIRMED,0,0,0,0,2.566588970,179.5543700,0.7550,2.42900,2.2650e+02,1.59,1360.0,15.00,6046.00,0.9720,296.286130,48.224670,15.714
6721123,K00114.01,FALSE POSITIVE,0,1,1,0,7.361789580,132.2505300,1.1690,5.02200,2.3370e+02,39.21,1342.0,47.70,6227.00,1.9580,298.864350,42.151569,12.660
10910878,K00757.01,CONFIRMED,0,0,0,0,16.068646740,173.6219370,0.0520,3.53470,4.9143e+03,5.76,600.0,161.90,5031.00,0.8480,286.999480,48.375790,15.841
11446443,K00001.01,CONFIRMED,0,0,0,0,2.470613377,122.7633050,0.8180,1.74319,1.4231e+04,13.04,1339.0,4304.30,5820.00,0.9640,286.808470,49.316399,11.338
10666592,K00002.01,CONFIRMED,0,1,0,0,2.204735417,121.3585417,0.2240,3.88864,6.6747e+03,16.10,2048.0,5945.90,6440.00,1.9520,292.247280,47.969521,10.463
6922244,K00010.01,CONFIRMED,0,0,0,0,3.522498429,121.1194228,0.6310,3.19843,9.1457e+03,14.59,1521.0,1741.50,6225.00,1.4510,281.288120,42.451080,13.563
10984090,K00112.02,CONFIRMED,0,0,0,0,3.709214104,133.9831800,0.0510,2.63020,1.3110e+02,1.16,1206.0,50.60,5833.00,1.0220,295.648710,48.495560,12.772
10419211,K00742.01,FALSE POSITIVE,0,1,0,0,11.521446064,170.8396880,2.4830,3.63990,1.7984e+04,150.51,753.0,622.10,5795.00,0.8480,297.079930,47.597401,15.472
10464078,K00743.01,FALSE POSITIVE,0,1,0,0,19.403937760,172.4842530,0.8040,12.21550,8.9187e+03,7.18,523.0,214.70,5043.00,0.6800,289.258210,47.635319,15.487
10480982,K00744.01,FALSE POSITIVE,0,1,0,0,19.221388942,184.5521637,1.0650,4.79843,7.4284e+04,49.29,698.0,2317.00,6117.00,0.9470,295.814540,47.690350,15.341
10485250,K00745.01,FALSE POSITIVE,0,1,0,0,16.469837740,180.8817610,0.2920,9.43780,1.0479e+04,7.94,595.0,303.40,5152.00,0.7860,297.154420,47.668701,15.788
10526549,K00746.01,CONFIRMED,0,0,0,0,9.273581730,173.2581550,0.3870,3.28750,1.2883e+03,2.47,649.0,87.20,4856.00,0.6960,288.138240,47.724449,15.302
10583066,K00747.01,CONFIRMED,0,0,0,0,6.029303290,171.6029590,0.2580,1.58210,1.9127e+03,2.85,678.0,65.40,4537.00,0.6720,283.710880,47.863270,15.784
10583180,K00748.01,FALSE POSITIVE,0,1,1,1,2.696370652,170.7376900,0.0440,3.61290,3.9790e+02,1.58,1066.0,48.20,4989.00,0.8190,283.765470,47.804298,15.269
10601284,K00749.01,CONFIRMED,0,0,0,0,5.349553819,171.8069400,0.0920,3.02780,8.3100e+02,2.55,919.0,60.60,5185.00,0.9100,292.376130,47.880989,15.416
10601284,K00749.02,CONFIRMED,0,0,0,0,3.941052210,136.0866200,0.2260,2.59840,3.6330e+02,1.70,1018.0,28.90,5185.00,0.9100,292.376130,47.880989,15.416
10601284,K00749.03,CONFIRMED,0,0,0,0,8.109048070,132.8031000,0.0250,3.59600,2.1740e+02,1.30,800.0,14.10,5185.00,0.9100,292.376130,47.880989,15.416
2306756,K00113.01,FALSE POSITIVE,0,1,0,0,386.603052800,166.3420790,0.9765,6.80570,2.4927e+04,41.50,297.0,994.00,5543.00,1.5800,292.273740,37.671558,12.394
10662202,K00750.01,CONFIRMED,0,0,0,0,21.676991930,171.5359400,0.8960,3.45550,8.5720e+02,2.95,530.0,34.30,4954.00,0.8280,290.465120,47.929180,15.377
10682541,K00751.01,CONFIRMED,0,0,0,0,4.996779680,171.7420800,0.7100,2.17170,9.3470e+02,2.78,917.0,28.20,5339.00,0.8470,297.808260,47.946671,15.861
11460018,K00769.01,CONFIRMED,0,0,0,0,4.280963604,171.8965900,0.4240,2.87500,7.5080e+02,2.30,1012.0,61.80,5644.00,0.8310,294.265810,49.314091,15.356
11463211,K00770.01,FALSE POSITIVE,0,0,1,0,1.506354090,170.9980640,0.8600,1.51550,2.2117e+03,4.53,1452.0,181.10,5714.00,0.8310,295.665220,49.351009,15.525
11465813,K00771.01,FALSE POSITIVE,0,1,1,0,670.645531000,209.0435500,0.7010,53.41200,1.8091e+04,14.14,196.0,642.70,5520.00,0.9830,296.698610,49.316479,15.207
11493732,K00772.01,FALSE POSITIVE,0,1,0,0,61.256362800,173.8382600,1.2480,7.63300,5.1233e+03,39.87,505.0,85.30,6144.00,1.0910,283.725920,49.479519,15.250
11507101,K00773.01,CONFIRMED,0,0,0,0,38.377548600,172.8204800,0.4680,5.58800,7.2420e+02,2.82,529.0,34.70,5481.00,1.0360,291.722020,49.480869,15.172
10910878,K00757.02,CONFIRMED,0,0,0,0,41.197255020,165.0040400,0.0450,4.62970,2.2139e+03,3.86,439.0,51.20,5031.00,0.8480,286.999480,48.375790,15.841
10910878,K00757.03,CONFIRMED,0,0,0,0,6.252962249,171.3012600,0.1050,2.58190,1.0369e+03,2.65,823.0,47.10,5031.00,0.8480,286.999480,48.375790,15.841
10987985,K00758.01,CONFIRMED,0,0,0,0,16.013084190,176.3608000,0.7990,3.25540,1.1219e+03,3.10,593.0,33.20,5015.00,0.8260,297.025630,48.478588,15.390
11018648,K00759.01,CONFIRMED,0,0,0,0,32.628766720,194.1019000,0.0210,4.79710,1.8048e+03,3.36,506.0,80.00,5586.00,0.7980,285.718540,48.505859,15.082
11018648,K00759.02,CONFIRMED,0,0,0,0,91.773286200,193.8378000,0.6060,6.47300,6.5200e+02,2.12,359.0,19.10,5586.00,0.7980,285.718540,48.505859,15.082
11138155,K00760.01,CANDIDATE,0,0,0,0,4.959319244,172.2585292,0.8310,2.22739,9.8020e+03,12.21,1103.0,696.50,5712.00,1.0820,292.167050,48.727589,15.263
11152159,K00761.01,FALSE POSITIVE,0,1,1,0,2.701287801,170.6957900,1.0160,3.38270,8.6040e+02,6.54,1222.0,48.30,5550.00,0.9100,297.923650,48.777321,15.540
11153539,K00762.01,CONFIRMED,0,0,0,0,4.498765110,171.3490500,0.3120,3.73620,4.6000e+02,2.10,1133.0,29.50,6075.00,0.9690,298.456850,48.791592,15.395
11242721,K00763.01,FALSE POSITIVE,0,1,0,0,19.651209505,179.4019810,0.7230,5.25140,1.1766e+04,12.42,730.0,513.40,6074.00,1.0630,291.093900,48.933842,15.536
9579641,K00115.01,CONFIRMED,0,0,0,0,5.412203927,133.1430890,0.7870,2.94720,6.0160e+02,2.94,1093.0,166.70,5779.00,1.0870,287.887330,46.276241,12.791
11304958,K00764.01,CONFIRMED,0,0,0,0,41.439586620,208.9320300,0.3550,10.59890,2.7931e+03,5.50,516.0,141.10,5468.00,1.0460,295.555050,49.017342,15.400
11391957,K00765.01,CONFIRMED,0,0,0,0,8.353895230,171.6325700,0.0230,2.25140,1.0416e+03,2.52,790.0,43.40,5592.00,0.7870,285.499240,49.277351,15.317
11403044,K00766.01,CONFIRMED,0,0,0,0,4.125543472,169.7525850,0.5970,3.17440,1.4873e+03,4.43,1243.0,128.60,6174.00,1.1030,291.936160,49.253979,15.506
11414511,K00767.01,CONFIRMED,0,0,0,0,2.816504904,170.9676846,0.1050,2.50587,1.6814e+04,12.21,1219.0,1406.80,5532.00,0.9550,297.015470,49.225288,15.052
11442465,K00768.01,FALSE POSITIVE,0,1,1,0,33.933734470,186.6760800,0.8120,14.56100,8.5037e+03,7.34,430.0,236.10,5040.00,0.7050,284.172330,49.360722,15.716
12110942,K00786.01,CONFIRMED,0,0,0,0,3.689920099,170.3657100,0.1510,2.65570,4.2670e+02,1.89,1147.0,35.60,5880.00,0.9170,291.622410,50.618240,15.242
12366084,K00787.01,CONFIRMED,0,0,0,0,4.431238488,171.0150000,0.4050,3.15000,1.0109e+03,3.25,1104.0,71.10,5714.00,1.0150,295.816160,51.121738,15.367
12366084,K00787.02,CONFIRMED,0,0,0,0,11.379369860,133.8499200,0.9110,2.62550,1.0235e+03,3.95,806.0,37.90,5714.00,1.0150,295.816160,51.121738,15.367
12404086,K00788.01,CONFIRMED,0,0,0,0,26.394328970,176.0545900,0.6020,3.57300,1.5109e+03,3.07,489.0,48.20,5129.00,0.7630,289.399720,51.250320,15.234
8395660,K00116.01,CONFIRMED,0,0,0,0,13.570782810,136.2791940,0.8660,3.35390,5.1170e+02,2.64,785.0,88.40,5854.00,1.0120,300.863980,44.337551,12.882
9579641,K00115.02,CONFIRMED,0,0,0,0,7.125943870,139.0049200,0.8980,3.00140,1.9240e+02,1.79,997.0,47.10,5779.00,1.0870,287.887330,46.276241,12.791
11656840,K00774.01,FALSE POSITIVE,0,1,0,0,7.442652004,169.9717797,0.1370,2.30780,2.4446e+04,15.03,967.0,835.60,6108.00,0.9560,288.986820,49.733742,15.270
11754553,K00775.01,CONFIRMED,0,0,0,0,16.384899880,172.7278200,0.0010,3.02490,1.1271e+03,2.00,433.0,28.90,4126.00,0.6150,286.738040,49.975750,15.095
11754553,K00775.02,CONFIRMED,0,0,0,0,7.877416300,176.3759000,0.0410,2.08050,1.3061e+03,2.16,553.0,38.70,4126.00,0.6150,286.738040,49.975750,15.095
11754553,K00775.03,CONFIRMED,0,0,0,0,36.445400100,151.6012500,0.0280,4.00700,1.1223e+03,1.99,332.0,21.70,4126.00,0.6150,286.738040,49.975750,15.095
11812062,K00776.01,CONFIRMED,0,0,0,0,3.728732147,171.7932550,0.5580,2.68300,5.2265e+03,6.02,1023.0,345.20,5497.00,0.8090,290.785740,50.054119,15.523
11818800,K00777.01,CANDIDATE,0,0,0,0,40.419503700,173.5646900,0.9110,3.36200,6.2560e+03,7.51,467.0,36.90,5446.00,0.7810,294.316860,50.080231,15.487
11853255,K00778.01,CONFIRMED,0,0,0,0,2.243380573,170.6792330,0.9150,1.11960,8.2170e+02,1.99,822.0,38.90,4149.00,0.5640,285.176210,50.149818,15.135
11909839,K00779.01,FALSE POSITIVE,0,1,0,0,10.405998015,177.1974660,0.3240,6.50360,1.4489e+04,11.23,833.0,745.20,5746.00,0.9240,289.235530,50.241001,15.562
11918099,K00780.01,CONFIRMED,0,0,0,0,2.337437946,171.7619820,0.2800,1.99820,9.7120e+02,2.34,1070.0,82.40,5005.00,0.7650,293.833310,50.230350,15.334
11918099,K00780.02,CANDIDATE,0,0,0,0,7.240661200,137.7554500,1.1980,0.55800,5.5640e+02,19.45,734.0,13.70,5005.00,0.7650,293.833310,50.230350,15.334
9579641,K00115.03,CANDIDATE,0,0,0,0,3.435916310,132.6624000,0.6240,3.13300,2.3200e+01,0.55,1272.0,8.70,5779.00,1.0870,287.887330,46.276241,12.791
11923270,K00781.01,CONFIRMED,0,0,0,0,11.598222330,180.3953760,0.6790,2.52370,2.8045e+03,2.65,396.0,71.00,3688.00,0.4730,296.221950,50.287220,15.937
11960862,K00782.01,CONFIRMED,0,0,0,0,6.575315881,173.6340440,0.3900,4.30840,2.7933e+03,5.31,1015.0,221.10,5992.00,0.9890,290.098050,50.321609,15.312
12020329,K00783.01,CONFIRMED,0,0,0,0,7.275040844,169.9942170,0.5470,7.53770,3.0010e+03,4.86,833.0,312.10,5485.00,0.8670,295.455290,50.494560,15.080
12066335,K00784.01,CONFIRMED,0,0,0,0,19.271538920,186.7709300,0.0310,2.75940,1.2198e+03,1.93,393.0,37.10,4077.00,0.5600,293.973360,50.531910,15.385
12066335,K00784.02,CONFIRMED,0,0,0,0,10.065243170,136.2890600,0.6280,1.36900,1.0533e+03,1.91,488.0,30.30,4077.00,0.5600,293.973360,50.531910,15.385
12070811,K00785.01,CONFIRMED,0,0,0,0,12.393565100,178.7472500,0.8830,3.88960,9.1660e+02,2.66,677.0,35.80,5557.00,0.7500,296.021330,50.567780,15.505
8395660,K00116.02,CONFIRMED,0,0,0,0,43.844397210,151.9353800,0.8520,6.80200,6.1520e+02,2.87,531.0,83.70,5854.00,1.0120,300.863980,44.337551,12.882
3120431,K00798.01,FALSE POSITIVE,0,1,1,0,3.341913228,171.6394300,1.2130,3.81300,7.2530e+02,21.55,1032.0,39.00,5295.00,0.8110,292.315950,38.270290,15.629
3246984,K00799.01,FALSE POSITIVE,0,0,1,0,1.626630225,169.8201710,1.2600,2.11450,1.6206e+03,32.43,1547.0,103.60,5735.00,0.9730,294.368190,38.310280,15.279
3342970,K00800.01,CONFIRMED,0,0,0,0,2.711504086,170.0341700,0.0230,3.00990,8.3750e+02,3.12,1420.0,64.50,6214.00,1.0760,291.653530,38.494659,15.541
3342970,K00800.02,CONFIRMED,0,0,0,0,7.212037480,172.8178200,0.0120,4.04910,9.5040e+02,3.32,1025.0,51.50,6214.00,1.0760,291.653530,38.494659,15.541
12459725,K00789.01,FALSE POSITIVE,0,0,0,1,14.179818700,171.5023700,0.1601,2.50500,4.5990e+02,1.88,711.0,11.20,5799.00,0.8780,291.044800,51.321671,15.727
12470844,K00790.01,CONFIRMED,0,0,0,0,8.472379110,174.1621200,0.0220,2.72450,1.1235e+03,2.59,751.0,47.60,5354.00,0.7880,296.366520,51.319519,15.339
12470844,K00790.02,CONFIRMED,0,0,0,0,60.418936900,181.1636700,0.0940,5.03900,9.3130e+02,2.36,390.0,20.10,5354.00,0.7880,296.366520,51.319519,15.339
12644822,K00791.01,CONFIRMED,0,0,0,0,12.611904345,180.8922840,0.5500,5.14970,6.1056e+03,7.40,753.0,277.20,5795.00,0.9190,289.112210,51.737381,15.140
2440757,K00792.01,FALSE POSITIVE,0,1,0,0,1.433769925,170.4035360,1.2680,1.88680,1.9763e+03,46.58,1920.0,112.60,6017.00,1.3390,290.843690,37.728828,15.122
2445129,K00793.01,FALSE POSITIVE,0,1,1,0,10.318723010,173.3154300,1.2150,3.83600,8.7170e+02,28.59,876.0,38.20,5927.00,1.0600,291.848910,37.713501,15.065
2713049,K00794.01,CONFIRMED,0,0,0,0,2.539183147,169.6749400,0.2380,2.42820,3.8210e+02,2.06,1332.0,38.90,5519.00,1.0620,291.439970,37.905659,15.026
3114167,K00795.01,CONFIRMED,0,0,0,0,6.770300385,170.5766200,0.8380,2.08440,1.3040e+03,2.77,812.0,50.80,5653.00,0.6790,290.870510,38.273628,15.591
3114661,K00796.01,FALSE POSITIVE,0,1,1,1,0.444291966,169.8654060,1.2580,2.07920,1.0967e+04,27.51,1836.0,299.70,5255.00,0.6360,290.996890,38.284920,15.748
3115833,K00797.01,CANDIDATE,0,0,0,0,10.181584004,177.1418910,0.9200,3.50890,5.7411e+03,7.73,812.0,183.60,5988.00,0.8360,291.281950,38.241669,15.657
4139816,K00812.02,CONFIRMED,0,0,0,0,20.060363360,147.4655400,0.5560,3.32030,1.4947e+03,1.96,361.0,35.20,3950.00,0.4930,286.079130,39.278320,15.954
4139816,K00812.03,CONFIRMED,0,0,0,0,46.184203900,165.2372900,0.0130,4.75800,1.3947e+03,1.83,273.0,26.00,3950.00,0.4930,286.079130,39.278320,15.954
8395660,K00116.04,CONFIRMED,0,0,0,0,23.980085400,147.5370000,0.9500,5.35100,1.0400e+02,1.31,649.0,17.10,5854.00,1.0120,300.863980,44.337551,12.882
4139816,K00812.04,CONFIRMED,0,0,0,0,7.825021680,136.5499500,0.7080,2.18600,5.2080e+02,1.20,494.0,15.90,3950.00,0.4930,286.079130,39.278320,15.954
4275191,K00813.01,CONFIRMED,0,0,0,0,3.895936525,170.5275520,0.5240,2.31110,8.5448e+03,7.34,1005.0,370.80,5557.00,0.7740,294.655240,39.308361,15.725
4476123,K00814.01,CONFIRMED,0,0,0,0,22.366464660,175.4586200,0.4000,5.22800,9.8680e+02,2.32,536.0,32.10,5395.00,0.7340,294.710630,39.521740,15.583
3351888,K00801.01,CONFIRMED,0,0,0,0,1.625522174,170.8266564,0.0760,2.38963,7.9690e+03,9.73,1579.0,799.70,5539.00,1.1060,293.871920,38.422939,15.001
3453214,K00802.01,CANDIDATE,0,0,0,0,19.620346923,181.8818190,0.4580,2.00380,2.1725e+04,13.60,643.0,340.50,5710.00,0.9050,293.816190,38.563568,15.562
3554600,K00803.01,FALSE POSITIVE,1,0,1,0,7.544039000,171.7982000,1.1750,6.22200,3.2260e+02,17.47,838.0,14.20,5657.00,0.8240,293.941160,38.601101,15.559
3641726,K00804.01,CONFIRMED,0,0,0,0,9.029306890,177.2042200,0.0240,3.14490,1.0198e+03,2.57,757.0,53.90,5349.00,0.8200,290.333620,38.728230,15.387
3734868,K00805.01,FALSE POSITIVE,0,1,0,0,10.328035714,174.5810540,0.2810,7.79150,1.6918e+04,13.28,843.0,636.80,5627.00,1.0240,287.696750,38.886452,15.646
3832474,K00806.01,CONFIRMED,0,0,0,0,143.206304700,154.2355200,0.3790,8.93020,1.0566e+04,8.90,308.0,138.80,5485.00,0.8670,285.283630,38.947281,15.403
8395660,K00116.03,CONFIRMED,0,0,0,0,6.164876000,135.6391600,0.6460,3.26200,5.5800e+01,0.79,1021.0,14.40,5854.00,1.0120,300.863980,44.337551,12.882
3832474,K00806.02,CONFIRMED,0,0,0,0,60.324942160,243.8925780,0.2240,6.61880,2.0280e+04,12.19,411.0,347.20,5485.00,0.8670,285.283630,38.947281,15.403
3832474,K00806.03,CONFIRMED,0,0,0,0,29.159861500,150.6992200,0.3619,4.80300,4.8800e+02,1.91,524.0,11.60,5485.00,0.8670,285.283630,38.947281,15.403
3836375,K00807.01,FALSE POSITIVE,0,0,1,1,1.540397253,170.5047900,1.2250,2.15410,8.1610e+02,25.69,1470.0,38.80,5663.00,0.9150,286.926390,38.921631,15.974
3838486,K00808.01,FALSE POSITIVE,0,0,1,1,2.990254430,171.9834000,0.0140,5.41400,5.8920e+02,1.70,918.0,48.50,4667.00,0.7310,287.748810,38.929550,15.842
3935914,K00809.01,CONFIRMED,0,0,0,0,1.594745374,170.6483505,0.5140,1.96040,1.5044e+04,11.30,1539.0,1009.30,5934.00,0.8930,285.213810,39.027481,15.530
3940418,K00810.01,CONFIRMED,0,0,0,0,4.783002698,170.5084340,0.0030,2.33500,1.0087e+03,2.50,886.0,70.60,5170.00,0.8070,287.093990,39.060719,15.119
4049131,K00811.01,CONFIRMED,0,0,0,0,20.505889210,181.4342800,0.2600,4.05950,2.1055e+03,3.41,518.0,78.50,4905.00,0.7610,289.315430,39.153278,15.398
4139816,K00812.01,CONFIRMED,0,0,0,0,3.340218842,171.9790620,0.4660,1.91040,1.6326e+03,2.03,656.0,71.60,3950.00,0.4930,286.079130,39.278320,15.954
5287983,K00828.01,FALSE POSITIVE,0,1,1,0,2.507089906,171.0024550,1.2550,2.00670,1.3392e+03,30.26,1326.0,64.90,5926.00,0.9390,295.378050,40.493401,15.555
5358241,K00829.01,CONFIRMED,0,0,0,0,18.649327280,174.7710000,0.0800,4.40560,8.9360e+02,3.12,701.0,46.10,5775.00,1.0530,290.461760,40.562462,15.386
10875245,K00117.02,CONFIRMED,0,0,0,0,4.901449760,138.6054800,0.5290,4.16540,1.4070e+02,1.70,1262.0,50.60,5847.00,1.4020,297.028260,48.208611,12.487
5358241,K00829.02,CONFIRMED,0,0,0,0,9.751921010,138.7860800,0.9490,4.79300,4.1800e+02,2.76,870.0,28.50,5775.00,1.0530,290.461760,40.562462,15.386
5358241,K00829.03,CONFIRMED,0,0,0,0,38.557654600,163.8506300,0.9110,5.79400,9.9300e+02,4.02,550.0,39.70,5775.00,1.0530,290.461760,40.562462,15.386
5358624,K00830.01,CONFIRMED,0,0,0,0,3.525632539,170.0479951,0.1200,2.59959,2.2335e+04,11.58,975.0,1996.70,5150.00,0.7930,290.581730,40.577400,15.224
4544670,K00815.01,CANDIDATE,0,0,0,0,34.843986440,172.6332520,0.9340,2.93150,4.5236e+03,7.61,511.0,76.80,5509.00,0.8710,285.920010,39.624828,15.684
4664847,K00816.01,CONFIRMED,0,0,0,0,7.748094239,174.9972060,0.5170,3.59570,2.4721e+03,5.52,964.0,113.20,5973.00,1.0850,294.489900,39.771439,15.670
4725681,K00817.01,CONFIRMED,0,0,0,0,23.967936690,186.2218200,0.4160,3.82700,1.1823e+03,1.80,329.0,27.50,3747.00,0.5240,283.866390,39.898079,15.414
4725681,K00817.02,CONFIRMED,0,0,0,0,8.295617380,135.7928400,0.8880,1.34210,8.2430e+02,1.82,469.0,17.90,3747.00,0.5240,283.866390,39.898079,15.414
4913852,K00818.01,CONFIRMED,0,0,0,0,8.114374820,176.3396800,0.5730,2.27360,1.5580e+03,2.10,460.0,56.40,3692.00,0.5170,288.812010,40.033401,15.877
4932348,K00819.01,FALSE POSITIVE,0,1,0,0,38.036729482,196.9349470,0.5010,4.34617,8.2872e+04,27.50,500.0,1300.00,5575.00,0.9320,294.147890,40.055538,15.472
4936180,K00820.01,CANDIDATE,0,0,0,0,4.640900310,173.6463800,1.2800,35.51200,2.4506e+03,30.09,1155.0,296.90,6463.00,0.8260,295.113710,40.071171,15.270
11913073,K00011.01,FALSE POSITIVE,0,1,1,1,3.747838198,171.6650400,1.1210,5.06420,6.1600e+02,13.65,1031.0,138.20,5514.00,0.8260,291.061520,50.265129,13.496
10875245,K00117.01,CONFIRMED,0,0,0,0,14.749148250,138.7779900,0.1730,6.09950,4.3020e+02,2.89,874.0,107.40,5847.00,1.4020,297.028260,48.208611,12.487
5021899,K00821.01,CONFIRMED,0,0,0,0,21.812959960,174.0108500,0.0530,4.37910,1.1754e+03,3.38,639.0,37.80,5601.00,0.9990,294.776860,40.153740,15.540
5077629,K00822.01,FALSE POSITIVE,0,1,0,0,7.919369370,172.1810920,0.7330,3.31480,1.5148e+04,10.34,814.0,389.00,5690.00,0.7760,283.538450,40.217999,15.805
5115978,K00823.01,CANDIDATE,0,0,0,0,1.028436523,170.2285820,1.5734,1.86060,8.0980e+03,72.77,1947.0,89.60,6228.00,0.9900,296.006990,40.295429,15.202
5164255,K00824.01,CONFIRMED,0,0,0,0,15.375623690,173.6140200,0.6920,3.31690,1.5337e+04,11.01,600.0,166.00,4986.00,0.8330,283.253540,40.358189,16.422
5252423,K00825.01,CONFIRMED,0,0,0,0,8.103632710,176.9486000,0.0470,3.16100,8.8790e+02,2.11,687.0,39.30,4861.00,0.7320,283.221410,40.421829,15.289
5252423,K00825.02,CONFIRMED,0,0,0,0,4.715108430,134.9617800,0.2580,2.50600,4.1750e+02,1.46,823.0,21.30,4861.00,0.7320,283.221410,40.421829,15.289
5272878,K00826.01,CONFIRMED,0,0,0,0,6.365839713,171.1357500,0.5240,2.97210,7.8070e+02,2.44,914.0,70.80,5776.00,0.8490,291.149510,40.420521,15.090
5283542,K00827.01,FALSE POSITIVE,0,0,1,0,5.975817540,174.7760200,0.9410,3.06500,9.6240e+02,3.86,1047.0,50.30,6108.00,0.9970,294.223970,40.417858,15.546
5649215,K00839.01,FALSE POSITIVE,0,0,1,1,2.446737317,170.6695100,1.2410,4.72110,1.1779e+03,26.25,1261.0,110.20,5764.00,0.8630,298.961120,40.862808,15.021
5651104,K00840.01,CONFIRMED,0,0,0,0,3.040330460,169.9490106,0.7360,1.84110,1.0859e+04,8.99,1021.0,568.20,5035.00,0.7910,299.316100,40.822380,15.028
5792202,K00841.01,CONFIRMED,0,0,0,0,15.335286750,174.0027800,0.7730,3.89700,3.0814e+03,5.00,610.0,86.60,5251.00,0.8170,292.236760,41.085880,15.855
10875245,K00117.04,CONFIRMED,0,0,0,0,7.958253280,137.8021900,0.7060,4.37700,5.0000e+01,1.06,1074.0,14.70,5847.00,1.4020,297.028260,48.208611,12.487
5792202,K00841.02,CONFIRMED,0,0,0,0,31.330461350,153.4303100,0.7980,5.17600,5.0738e+03,6.50,481.0,117.20,5251.00,0.8170,292.236760,41.085880,15.855
5370302,K00831.01,FALSE POSITIVE,0,1,0,0,3.904342500,173.3937340,0.7090,3.83100,1.6228e+04,12.28,1104.0,323.40,5810.00,0.8980,294.056760,40.549679,15.016
5372966,K00832.01,FALSE POSITIVE,0,1,0,0,9.286358079,171.8214689,0.3770,3.49949,4.4791e+04,17.61,796.0,1671.10,5670.00,0.8210,294.743960,40.533920,15.365
5376067,K00833.01,FALSE POSITIVE,0,1,0,0,3.951405455,173.2761250,1.2760,2.18620,2.4539e+03,31.44,1133.0,117.20,6046.00,0.8690,295.504390,40.505489,15.446
5436502,K00834.01,CONFIRMED,0,0,0,0,23.653694150,171.3761070,0.0080,8.21830,3.3418e+03,7.89,731.0,266.30,5739.00,1.3840,287.897130,40.637821,15.084
5436502,K00834.02,CONFIRMED,0,0,0,0,13.233522140,140.3219600,0.0140,6.73720,5.0460e+02,3.06,888.0,49.10,5739.00,1.3840,287.897130,40.637821,15.084
5436502,K00834.03,CONFIRMED,0,0,0,0,6.155602850,134.8165600,0.2350,4.98430,2.8500e+02,2.32,1146.0,35.10,5739.00,1.3840,287.897130,40.637821,15.084
5436502,K00834.04,CONFIRMED,0,0,0,0,2.090811305,134.1746200,0.7460,3.38800,1.1590e+02,1.62,1642.0,19.90,5739.00,1.3840,287.897130,40.637821,15.084
10875245,K00117.03,CONFIRMED,0,0,0,0,3.180027898,133.4986300,0.1960,3.57970,1.2030e+02,1.53,1458.0,50.40,5847.00,1.4020,297.028260,48.208611,12.487
5436502,K00834.05,CONFIRMED,0,0,0,0,50.446741700,178.5014000,0.3790,7.15900,3.7030e+02,2.67,568.0,19.40,5739.00,1.3840,287.897130,40.637821,15.084
5456651,K00835.01,CONFIRMED,0,0,0,0,11.763071640,180.9361300,0.0480,2.90760,1.0373e+03,2.35,616.0,48.90,4959.00,0.7560,294.202150,40.663410,15.208
5456651,K00835.02,CONFIRMED,0,0,0,0,56.227927100,132.2925900,0.7000,3.57000,8.6270e+02,2.37,366.0,20.90,4959.00,0.7560,294.202150,40.663410,15.208
5481416,K00836.01,FALSE POSITIVE,0,1,1,1,2.384052875,171.5836200,1.1780,3.09180,1.2681e+03,17.06,1010.0,50.50,4794.00,0.7010,299.642850,40.691238,15.836
5531576,K00837.01,CONFIRMED,0,0,0,0,7.953547000,174.6622400,0.3000,2.63120,8.7540e+02,2.25,696.0,38.40,4768.00,0.7790,291.158780,40.750271,15.660
5531576,K00837.02,CONFIRMED,0,0,0,0,4.144516560,135.9283100,0.0040,2.34210,3.9180e+02,1.48,864.0,22.80,4768.00,0.7790,291.158780,40.750271,15.660
